"text","label"
"@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24","neutral"
"@VirginAmerica Thanks!","positive"
"@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?","positive"
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?","neutral"
"@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM","neutral"
"@VirginAmerica - amazing customer  service, again! ???ï??? RaeAnn in SF - she's the best! #customerservice #virginamerica #flying","positive"
"@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?","neutral"
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9","neutral"
"@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!","positive"
"Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.","positive"
"@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)","positive"
"@VirginAmerica thanks!","positive"
"@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member????","negative"
"@VirginAmerica there is something wrong with you website in Safari iPhone","negative"
"@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq","neutral"
"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ","neutral"
"@VirginAmerica thank you! I absolutely will ????","positive"
"@VirginAmerica Thanks!","positive"
"@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef","positive"
"@VirginAmerica is my new go to airline","neutral"
"@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.","positive"
"@VirginAmerica I need a receipt for a flight change. Can you send one?","neutral"
"@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE","neutral"
"@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE","neutral"
"@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE","neutral"
".@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I?ôm still road tripping on Feb 27??","neutral"
"@VirginAmerica got it. All set - Thanks!","positive"
"@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?","neutral"
"@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek","neutral"
"@VirginAmerica please add more frequency to PDX Portland","neutral"
"@VirginAmerica That's classy.","positive"
"@united thanks","positive"
"@united why not? Is it a law or a policy?","neutral"
"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.","negative"
"@united thank you !","neutral"
"@united dm these nuts","neutral"
"@united it was credit from my last trip that never came in the mail!","negative"
"@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5","neutral"
"@united bet you wont honour them, like mine ey","neutral"
"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,","negative"
"@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? ????","neutral"
"@united thnx for the info","positive"
"@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.","positive"
"@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.","positive"
"@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...","negative"
"@united you are one great airline ?ù§Ô∏?","positive"
"@united is my favorite airline.","positive"
"@united where is my flight voucher?","neutral"
"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable.","negative"
"@united Can you please follow for a Dm on a missing bag?","negative"
"@united I am signed up for notifications. This is the first trip I was not updated on. Not sure why this happened.","negative"
"@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.","neutral"
"@united Pleased to be a Premier Platinum","positive"
"@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!","negative"
"@united Not a happy flyer.  UA flight 1161 from SFO to Cleveland.  Sunday 2/22.  Stay tuned for blog article from http://t.co/VdFdODqVGx","negative"
"But I don't see AA @united","neutral"
"@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.","positive"
"@united Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?","neutral"
"@united follow back and I'll give you the details.","neutral"
"@united and most frustratingly, all this delay happened either at the gate, or even onboard the aircraft! No heads up in advance!!!","negative"
"@united My credit card was charged on the transaction when I was told it would not be. If the charge goes through I will be contacting you.","negative"
"@united Thanks!","positive"
"@united passengers should have been rerouted to match the intended arrival time (even if you have to incur cost to put us in other airlines)","negative"
"@United to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek","neutral"
"@united 2nd flight in two weeks that you have lost my bag!  Taking my 1K status to @AmericanAir #neveragain #WORSTCUSTOMERSERVICE","negative"
"@united Left item n the seatback on UA1260. Is there any way to call DCA to ask if they have the item? Already submitted lost &amp; found report","neutral"
"@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!","positive"
"@united Lisa J is amazing the guy not so much.","neutral"
"@united I already did.","neutral"
"@united Cool. Thank you.","positive"
"@united WHERE IS MY RECEIPT! I upgraded return leg and 6 months Late Flightr still NO receipt! http://t.co/DAjWzhLVyu","negative"
"@United ""Your bag may or may not be at the airport. Unfortunately, no one at the airport is picking up the phone or responding to messages.""","negative"
"@united @ShowExpert what is going on with United's Mileage Program? You pay $500 for a ticket and get a fraction of that as PQD credit?","negative"
"@united an efficient layout at kiosks/bag drop lines would help as there is no definition to space. Additional friendly and helpful staff","negative"
"@united you are terrible.","negative"
"@united  @DENAirport United 787 in snowy Denver. http://t.co/w1AaKJumXA","neutral"
"@united tried to book a flight IAH-MNL departing 3/31/15 returning 4/17/15 you are advertising 9 flights for $1051 that can't be book!","negative"
"@united yes I have and I was calling in regards to speaking to someone about it even further, but unfortunately i was just bounced around.","negative"
"@united if you don't like delayed bags, why do you let it happen so much?","negative"
"@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you","neutral"
"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)","positive"
